FALLS (UKEMI),,,,,,,,,,,,,,,,
Ura Nage (Rear Throw),"[80, 116, 122]",,,,,,,,,,x,,x,,x,
,OTHER  ,,,,,,,,,,,,,,,
Single-leg takedown,,,x,,x,,x,,x,,x,,x,,x,
Double-leg takedown,,,,,x,,x,,x,,x,,x,,x,
Head winding throw,110,,,,x,,x,,x,,x,,x,,x,
Sleeve Pivot Throw,90,,,,,,x,,x,,x,,x,,x,
Corkscrew Throw (from Kote Hineri),58,,,,,,x,,x,,x,,x,,x,
Sumi Otoshi (Corner Drop),,98,,,,,,,x,,x,,x,,x,
Ude Guruma Makikomi (Arm Wheel Winding Throw),"62, 100 [194]",,,,,,,,x,,x,,x,,x,
Uki Otoshi (Floating Drop),,"91, 148",,,,,,,,,x,,x,,x,
,FOOT/LEG TECHNIQUES (ASHI WAZA),,,,,,,,,,,,,,,
O Soto Gari (Big Outer Reap),64,64,x,,x,,x,,x,,x,,x,,x,
O Uchi Gari (Big Inner Reap),,66,,,x,,x,,x,,x,,x,,x,
De Ashi Harai (Forward Foot Sweep),,60,,,,,x,,x,,x,,x,,x,
Sasae Tsurikomi Ashi (Suporting Foot Lift-Pull),,"62, 153",,,x,,x,,x,,x,,x,,x,
Hiza Guruma (Knee Wheel),,61,,,,,,,x,,x,,x,,x,
Kosoto Gake (Small Outer Hook),,76,,,,,,,x,,x,,x,,x,
Kouchi Gari (Small Inside Reap),,69,,,,,,,,,x,,x,,x,
Kosoto Gari (Small Outer Reap),,68,,,,,,,,,,,x,,x,
Okuri Ashi Harai (Side Foot Sweep),,"72, 152",,,,,,,,,,,x,,x,
,SACRIFICE TECHNIQUES (SUTEMI WAZA),,,,,,,,,,,,,,,
Tani Otoshi (Valley Drop),,80,x,,x,,x,,x,,x,,x,,x,
Yoko Otoshi (Side Drop),,78,,,x,,x,,,,x,,x,,x,
Yoko Wakare (Side Separation),,94,,,,,x,,x,,x,,x,,x,
Soto Makikomi (Outside Winding Throw),76,90,,,,,x,,x,,x,,x,,x,
Sumi Gaeshi (Corner Throw),,"84, 156",,,,,,,x,,x,,x,,x,
Tomoenage (Comma-shaped Throw),70,"82, 154",,,,,,,x,,x,,x,,x,
Uki Waza (Floating Throw Technique),,"93, 158",,,,,,,,,x,,x,,x,
"Yoko Gake (Side Body Drop --""Side Hook"")",,"99, 157",,,,,,,,,x,,x,,x,
SELF-DEFENSE,,,,,,,,,,,,,,,,
,AGAINST UNARMED ATTACKS,,,,,,,,,,,,,,,
Strike (Atemi),,196,x,,x,,x,,x,,x,,x,,x,
Kick (Geri),"78, 80 [96, 100]",198,x,,x,,x,,x,,x,,x,,x,
Single-wrist grab,,,x,,x,,x,,x,,x,,x,,x,
"Double-wrist grab (front, rear)",,,,,x,,x,,x,,x,,x,,x,
Headlock,"50, 112",,,,x,,x,,x,,x,,x,,x,
Front Choke,"48, 110",,,,x,,x,,x,,x,,x,,x,
Rear Choke (forearm),46,,,,x,,x,,x,,x,,x,,x,
Rear Bearhug ,"44, 76",90,,,,,x,,x,,x,,x,,x,
Football Tackle,,,,,,,x,,x,,x,,x,,x,
Lapel Grab,98,,,,,,x,,x,,x,,x,,x,
Rear Choke (arms extended),,,,,x,,x,,x,,x,,x,,x,
Front Bearhug,86,66,,,,,x,,x,,x,,x,,x,
Handshake,,,,,,,x,,x,,x,,x,,x,
Hair Grab,"82, 83",,,,,,,,x,,x,,x,,x,
Shoulder Grab,,208,,,,,,,,,x,,x,,x,
Mugging Attack,104,,,,,,,,,,x,,x,,x,
Full Nelson,"[150, 152]",,,,,,,,,,x,,x,,x,
,AGAINST ARMED ATTACKS,,,,,,,,,,,,,,,
Knife,"52, 58","199, 200",,,x,,x,,x,,x,,x,,x,
Club,60,"200, 201",,,,,x,,x,,x,,x,,x,
Gun,,"202, 203",,,,,,,x,,x,,x,,x,
